shade_id,product_id,hex,shade_name,shade_specific,skintone,undertone,shade_specific_raw,name
104557,233,#95593f,Tan 072,072,Tan ,NA,Tan,NA
104558,233,#84583d,Tan 074,074,Tan ,NA,Tan,NA
104559,233,#815641,Tan 076,076,Tan ,NA,Tan,NA
104560,233,#7c5140,Tan 078,078,Tan ,NA,Tan,NA
104561,233,#743c2b,Deep 080,080,Deep,NA,Deep,NA
104562,233,#603524,Deep 082,082,Deep,NA,Deep,NA
104563,233,#5a3421,Deep 084,084,Deep,NA,Deep,NA
104564,233,#592f19,Deep 086,086,Deep,NA,Deep,NA
104565,233,#532d20,Deep 088,088,Deep,NA,Deep,NA
104566,233,#582d1d,Deep 090,090,Deep,NA,Deep,NA
104567,233,#583321,Deep 092,092,Deep,NA,Deep,NA
104568,233,#523525,Deep 094,094,Deep,NA,Deep,NA
104569,233,#4b2a17,Deep 096,096,Deep,NA,Deep,NA
104570,233,#41200d,Deep 098,098,Deep,NA,Deep,NA
104571,233,#47210e,Deep 100,100,Deep,NA,Deep,NA
104572,234,#ecccb7,Light 103,103,Light,NA,Light,NA
104573,234,#ecc6a9,Light 105,105,Light,NA,Light,NA
104574,234,#e5b9a4,Light 107,107,Light,NA,Light,NA
104575,234,#e1b69a,Light 109,109,Light,NA,Light,NA
104576,234,#e9bc9b,Light 111,111,Light,NA,Light,NA
104577,234,#d7ac8a,Light 114,114,Light,NA,Light,NA
104578,234,#d7ac8a,Light 119,119,Light,NA,Light,NA
104579,234,#e1ab93,Light 122,122,Light,NA,Light,NA
104580,234,#e3b48c,Medium 126,126,Medium,NA,Medium,NA
104581,234,#cda37d,Medium 129,129,Medium,NA,Medium,NA
104582,234,#c89e78,Medium 131,131,Medium,NA,Medium,NA
104583,234,#d09a78,Medium 137,137,Medium,NA,Medium,NA
104584,234,#d8af83,Medium 141,141,Medium,NA,Medium,NA
104585,234,#bb906e,Medium 149,149,Medium,NA,Medium,NA
104586,234,#c08156,Tan 158,158,Tan ,NA,Tan,NA
104587,234,#cb9768,Tan 161,161,Tan ,NA,Tan,NA
104588,234,#a06e3c,Tan 162,162,Tan ,NA,Tan,NA
104589,234,#c08150,Tan 167,167,Tan ,NA,Tan,NA
104590,234,#af7955,Tan 169,169,Tan ,NA,Tan,NA
104591,234,#bc8155,Tan 173,173,Tan ,NA,Tan,NA
104592,234,#9e6844,Tan 177,177,Tan ,NA,Tan,NA
104593,234,#9c5c35,Deep 179,179,Deep,NA,Deep,NA
104594,234,#a9602f,Deep 181,181,Deep,NA,Deep,NA
104595,234,#854a28,Deep 183,183,Deep,NA,Deep,NA
104596,234,#81432e,Deep 185,185,Deep,NA,Deep,NA
104597,234,#69351f,Deep 187,187,Deep,NA,Deep,NA
104598,234,#522718,Deep 191,191,Deep,NA,Deep,NA
104599,234,#57281a,Deep 195,195,Deep,NA,Deep,NA
104600,234,#482412,Deep 197,197,Deep,NA,Deep,NA
104601,235,#fde8d3,1N,1N,NA,NA,1N,NA
104602,235,#f1dcbf,1W,1W,NA,NA,1W,NA
104603,235,#f5dabf,1C,1C,NA,NA,1C,NA
104604,235,#f3ddb8,1.5W,1.5W,NA,NA,1.5W,NA
104605,235,#f4d1b5,2C,2C,NA,NA,2C,NA
104606,235,#f4d1b3,2W,2W,NA,NA,2W,NA
104607,235,#f0cea9,2.5W,2.5W,NA,NA,2.5W,NA
104608,235,#e6c9a9,2.5N,2.5N,NA,NA,2.5N,NA
104609,235,#f9cda6,3N,3N,NA,NA,3N,NA
104610,235,#e2b596,3C,3C,NA,NA,3C,NA
104611,235,#e3b896,3W,3W,NA,NA,3W,NA
104612,235,#e6b28a,3.5W,3.5W,NA,NA,3.5W,NA
104613,235,#e3b593,4N,4N,NA,NA,4N,NA
104614,235,#dbac92,4C,4C,NA,NA,4C,NA
104615,235,#e5ae8f,4.5C,4.5C,NA,NA,4.5C,NA
104616,235,#d7a580,4.5W,4.5W,NA,NA,4.5W,NA
104617,235,#dca67a,5W,5W,NA,NA,5W,NA
104618,235,#d99e76,5N,5N,NA,NA,5N,NA
104619,235,#e3a87e,5WN,5WN,NA,NA,5,NA
104620,235,#d99c6d,5.5W,5.5W,NA,NA,5.5W,NA
104621,235,#dc9875,6C,6C,NA,NA,6C,NA
104622,235,#d29463,6W,6W,NA,NA,6W,NA
104623,235,#cf8d5b,6.5W,6.5W,NA,NA,6.5W,NA
104624,235,#cb966a,6.5N,6.5N,NA,NA,6.5N,NA
104625,235,#cf935f,7W,7W,NA,NA,7W,NA
104626,235,#ce8a59,7N,7N,NA,NA,7N,NA
104627,235,#c47e4a,7.5W,7.5W,NA,NA,7.5W,NA
104628,235,#be7844,7.5C,7.5C,NA,NA,7.5C,NA
104629,235,#c17841,8W,8W,NA,NA,8W,NA
104630,235,#ba7844,8WN,8WN,NA,NA,8,NA
104631,235,#9d5c24,8.5WN,8.5WN,NA,NA,8.5WN,NA
104632,235,#ad6a36,8.5C,8.5C,NA,NA,8.5C,NA
104633,235,#9b5225,9W,9W,NA,NA,9W,NA
104634,235,#924c1b,9WN,9WN,NA,NA,9,NA
104635,235,#703517,9.5W,9.5W,NA,NA,9.5W,NA
104636,235,#6f311a,9.5C,9.5C,NA,NA,9.5C,NA
104637,235,#62341a,9.5WN,9.5WN,NA,NA,9.5WN,NA
104638,235,#5b2912,10C,10C,NA,NA,10C,NA
104639,235,#441d0e,10N,10N,NA,NA,10N,NA
104640,235,#381b0b,10.5N,10.5N,NA,NA,10.5N,NA
104641,236,#f7dfca,1N,1N,NA,NA,1N,NA
104642,236,#f7dac4,1C,1C,NA,NA,1C,NA
104643,236,#f4dabe,1W,1W,NA,NA,1W,NA
104644,236,#ebc8ac,2C,2C,NA,NA,2C,NA
104645,236,#ebc4a3,2WN,2WN,NA,NA,2,NA
104646,236,#e4bd9c,2N,2N,NA,NA,2N,NA
104647,236,#e8bb91,3WN,3WN,NA,NA,3,NA
104648,236,#e5b786,3W,3W,NA,NA,3W,NA
104649,236,#e4b78e,3N,3N,NA,NA,3N,NA
